"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle Status Check","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2024-01-18T15:56:24.897059875Z[Etc/UTC]","0.0","2.24"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-18T15:56:24.917042251Z[Etc/UTC]","0.0","2.71"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-18T15:56:26.452925039Z[Etc/UTC]","0.0","1.2"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-18T15:56:24.903407949Z[Etc/UTC]","0.0","2.73"
