"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle Status Check","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2024-01-22T16:58:22.408901907Z[Etc/UTC]","0.0","2.19"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-22T16:58:22.396764971Z[Etc/UTC]","0.0","2.65"
"Registering a new user","Password should be stored as a hashed password","SUCCESS","2024-01-22T16:58:23.921618015Z[Etc/UTC]","0.0","1.14"
