"Story","Title","Result","Date","Stability","Duration (s)"
"Game Overview","Player runs out of tries and loses","SUCCESS","2024-01-16T05:57:41.310359943Z[Etc/UTC]","0.0","0.33"
"Game Overview","Player guesses the right word and wins","SUCCESS","2024-01-16T05:57:41.334308147Z[Etc/UTC]","0.0","0.33"
