"Story","Title","Result","Date","Stability","Duration (s)"
"Displaying the results of a game","Should show misplaced cells as yellow","SUCCESS","2023-07-11T05:55:23.352344712Z[Etc/UTC]","0.0","0.09"
"Displaying the results of a game","Should show incorrect cells as gray","SUCCESS","2023-07-11T05:55:23.598986876Z[Etc/UTC]","0.0","0.01"
"A row of cells contains cells of different colors","Should show row of colored cells","SUCCESS","2023-07-11T05:55:30.660454606Z[Etc/UTC]","0.0","0.06"
"A row of cells contains cells of different colors","Should show row of colored cells","SUCCESS","2023-07-11T05:55:30.660454606Z[Etc/UTC]","0.0","0.02"
"A row of cells contains cells of different colors","Should show row of colored cells","SUCCESS","2023-07-11T05:55:30.660454606Z[Etc/UTC]","0.0","0.01"
"When rendering cells","Should show correct cells as green","SUCCESS","2023-07-11T05:55:23.964540173Z[Etc/UTC]","0.0","0.01"
"When rendering cells","Should show cells with color","SUCCESS","2023-07-11T05:55:31.327593465Z[Etc/UTC]","0.0","0.02"
"When rendering cells","Should show cells with color","SUCCESS","2023-07-11T05:55:31.327593465Z[Etc/UTC]","0.0","0.01"
"When rendering cells","Should show cells with color","SUCCESS","2023-07-11T05:55:31.327593465Z[Etc/UTC]","0.0","0.01"
