"Story","Title","Result","Date","Stability","Duration (s)"
"When a player asks for hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2023-07-11T05:55:24.347999571Z[Etc/UTC]","0.0","3.87"
"When a player asks for hints","Requesting another hint","SUCCESS","2023-07-11T05:55:31.330666134Z[Etc/UTC]","0.0","0.39"
