"Story","Title","Result","Date","Stability","Duration (s)"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-09T18:22:40.20460077Z[Etc/UTC]","0.0","2.26"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-09T18:22:41.164835195Z[Etc/UTC]","0.0","1.3"
"Creating a new game","The new game should contain no moves","SUCCESS","2024-01-09T18:22:43.212687637Z[Etc/UTC]","0.0","0.13"
