"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle Status Check","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2024-01-10T20:40:44.06075233Z[Etc/UTC]","0.0","2.24"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-10T20:40:44.052612285Z[Etc/UTC]","0.0","2.27"
"Getting hints","Requesting another hint","SUCCESS","2024-01-10T20:40:49.029211691Z[Etc/UTC]","0.0","2.16"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-10T20:40:49.03638639Z[Etc/UTC]","0.0","2.72"
