"Story","Title","Result","Date","Stability","Duration (s)"
"Displaying the results of a game","Should show misplaced cells as yellow","SUCCESS","2023-07-28T10:56:24.794964653Z[Etc/UTC]","0.0","0.11"
"Displaying the results of a game","Should show incorrect cells as gray","SUCCESS","2023-07-28T10:56:25.099184233Z[Etc/UTC]","0.0","0.02"
"A row of cells contains cells of different colors","Should show row of colored cells","SUCCESS","2023-07-28T10:56:32.531199564Z[Etc/UTC]","0.0","0.13"
"When rendering cells","Should show correct cells as green","SUCCESS","2023-07-28T10:56:25.687150183Z[Etc/UTC]","0.0","0.02"
"When rendering cells","Should show cells with color","SUCCESS","2023-07-28T10:56:33.0904387Z[Etc/UTC]","0.0","0.05"
