"Story","Title","Result","Date","Stability","Duration (s)"
"Getting hints","Requesting another hint","SUCCESS","2024-01-10T18:19:16.804483757Z[Etc/UTC]","0.0","0.17"
"Getting hints","Requesting another hint","SUCCESS","2024-01-10T18:19:16.804483757Z[Etc/UTC]","0.0","0.15"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-10T18:19:16.81157052Z[Etc/UTC]","0.0","0.27"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-10T18:19:16.81157052Z[Etc/UTC]","0.0","0.19"
