"Story","Title","Result","Date","Stability","Duration (s)"
"A row of cells contains cells of different colors","Should show row of colored cells","SUCCESS","2023-08-08T15:15:35.185221272Z[Etc/UTC]","0.0","0.09"
"A row of cells contains cells of different colors","Should show row of colored cells","SUCCESS","2023-08-08T15:15:35.185221272Z[Etc/UTC]","0.0","0.04"
"A row of cells contains cells of different colors","Should show row of colored cells","SUCCESS","2023-08-08T15:15:35.185221272Z[Etc/UTC]","0.0","0.03"
